instance,channel,min,max,mean,median,std,skew,kurtosis,activity,mobility,complexity,psd_alpha_mean,psd_beta_mean,psd_gamma_mean,psd_delta_mean,psd_theta_mean,alpha_rel,beta_rel,gamma_rel,delta_rel,theta_rel,spm_1,spm_2,SP,POW_SP,SPE,α+θ/β,α/β,α+θ/α+β,θ/β,γ+β/δ+α,γ/δ,hurst_exp,hfd,lyapunov_exp,wt_alpha_mean,wt_beta_mean,wt_gamma_mean,wt_delta_mean,wt_theta_mean,DFA,PCC ch-0,PCC ch-1,PCC ch-2,PCC ch-3,PCC ch-4,PCC ch-5
0,0,7.09,52.34,28.382979910714287,27.56,8.829980910711246,0.2014248719444906,-0.4880552567241563,77.968562883525,0.033433536354343076,1.361196621574717,1.1403461201073948,0.45948147748856266,0.003940066097687939,10.565313469273804,3.7879060629360777,0.07623121972972817,0.09982689183336205,0.0068481463810036855,0.5297120223335022,0.25321846964503664,284.8307603571926,3210.0692139599596,2.0,10.802502474505152,-19.751252243802444,10.72568193603875,2.481810858492724,3.0804895417788143,8.243871077546027,0.039589528471052064,0.00037292467555709503,0.2514929364326064,0.15466328209639907,0.011785414289025629,-3.889667880219271,0.058218031105354014,0.11114023780286986,336.45705760588277,-4.0521523929193695,2.145874302520048,0.9999999999999998,0.8194623214162777,0.5250620923951939,0.5966769682895385,0.40204076103140135,0.35284479852768985
0,1,-10.38,37.47,11.731238839285714,11.56,9.109355922234887,0.08919284323862732,-0.3707945287373269,82.9803653179558,0.03344794005588789,2.6987809252007664,1.3133728379200345,0.5547993266977079,0.0034941905205110356,6.770080487554909,2.8411736588437067,0.11661297235879442,0.1600951300445991,0.008066381610251954,0.4508311649792102,0.2522647764438147,270.36973085939155,3316.7934260476727,2.0,8.563419044233557,-10.719410809164481,7.488376962337984,2.3672934964386654,2.2238563315784265,5.121083465899319,0.06906621399776765,0.0005161224489035582,0.2346207697479883,0.14694256321933172,-0.002538963631316562,-7.64487417211266,0.5338059124159612,-0.0007072566280987178,158.09542443655306,2.2215302873650415,2.0956225229141077,0.8194623214162777,0.9999999999999998,0.28543280714071045,0.43497404162070535,0.6144511500016971,0.5768171932192871
0,2,-19.69,1.84,-8.520602678571429,-8.72,3.0353498185064454,0.0612811351304995,0.592302198702026,9.213348520707111,0.033410151672693726,1.9434300313667323,0.18950540519282227,0.07744291810026166,0.0006297089784835293,0.8311113856471932,0.5175187954978107,0.11402322228946542,0.15143866705540668,0.009851104857480338,0.3750526199102244,0.3113851058653513,42.41651306016705,571.6632385939217,1.0,1.0278861947212254,1.2125331624679347,9.129617246283027,2.447033374278054,2.648543328419364,6.682583872004974,0.07649553464085943,0.0007576709805186579,0.1540618216381699,0.18129876713635407,0.0037064801205644897,0.18986018624168688,-0.14759020215596752,-0.00038271901794019117,-86.98138008901033,-2.54978694410225,2.0459414609167244,0.5250620923951939,0.28543280714071045,1.0,0.7264169059183441,-0.10119190658212787,-0.23716030367690907
0,3,-9.16,3.94,-2.885390625,-2.895,2.9459186096284067,0.05506990404599103,-0.6019084256097704,8.678436454554966,0.03340895781657875,4.017541641586363,0.21191255591670127,0.07198257899248797,0.0007716583899339768,1.0388717319990455,0.2638870321600935,0.13156065375374534,0.14523794547255717,0.012455689221400987,0.48371830884505607,0.1638277180789805,36.52982139060552,513.0687722685069,1.0,1.4065763194467007,1.058107901602916,6.609926939773146,2.943942254956109,1.6759695027144117,3.665984684817037,0.058166894232143336,0.0007427850485922027,0.21205927836464192,0.18382189027227513,0.006097375049175928,0.21951921228643823,-0.9567623227887947,0.03676008925099401,-28.879521271270008,-0.9521757435775419,1.9847664452086025,0.5966769682895385,0.4349740416207054,0.7264169059183442,1.0,-0.14580638664763362,-0.09423566151984666
0,4,-49.22,-27.34,-38.11223214285714,-38.75,4.546604494372977,0.2775207553777822,-0.6637516481040877,20.67161242825255,0.03342419737290541,0.44176150539896647,0.22230205976383077,0.07787374824588697,0.0007067083719948326,0.8490560737423607,0.524209316461831,0.1336104429113297,0.15211476005842878,0.011043595754280865,0.3827318048350206,0.31506608182182183,43.16009489753786,583.5555244800587,1.0,1.3785171713062383,1.1316892374291314,9.586174969625787,2.8546469737389586,2.4869138561675648,6.731527995886829,0.07334658146544765,0.0008323459355044643,0.18117447914775187,0.16560290601928335,0.033211305311748006,-1.2683286510013982,0.1785370231675466,-0.012262538910836916,-426.51510725871935,3.0501084420453073,2.0144035300817116,0.40204076103140135,0.614451150001697,-0.10119190658212787,-0.14580638664763362,0.9999999999999998,0.8139550680000098
0,5,-22.88,-3.31,-11.262109375,-11.205,3.7893569400740157,-0.10645450400168993,-0.7790678475572324,14.359226019287108,0.03343858952383059,1.3975298244541148,0.3060062311509735,0.0711928674783461,0.0007938323673304937,0.5127413215806672,0.4650036430377208,0.21200173197017178,0.16029832544857278,0.014299185148979548,0.26642116359588003,0.3221554584873776,41.927456618085344,557.5881607679993,1.0,0.8320648170723879,1.1816830702438652,10.82987525995077,4.298270908164329,2.044039545668108,6.531604351786441,0.08792294963875336,0.0015482121957389457,0.13555018434681412,0.14700469154182144,0.04110210432725788,-2.1934089221552844,-0.17353500796235247,0.03287422070076633,-136.2929915257977,3.158878081901105,2.059420945771083,0.35284479852768985,0.576817193219287,-0.23716030367690905,-0.09423566151984666,0.8139550680000097,1.0
1,0,2.53,42.59,18.021640625,16.83,8.954121550015767,0.5560891698704082,-0.4318271236225524,80.17629273245676,0.033446509538626976,2.05612642147876,1.7320490783959306,0.5110811923565476,0.004459748002634706,3.181427126424438,2.451410059917893,0.20519964603060306,0.19678394999647295,0.013737258832018847,0.2826829772134881,0.2904239162996878,258.6515537147775,3692.7259366481094,4.0,4.512406434408136,-4.186848834180146,8.18550790144377,3.388990055395336,1.8650094436603741,4.796517846048434,0.10492387036563047,0.001401807373047377,0.15976289687277312,0.17943523427248248,-0.00566509053423708,4.532945594705803,-3.1929770520362863,-0.09406885510849596,231.06688248306656,9.067895988374264,2.046006792323166,1.0,0.8148861344747779,0.7509671491571496,0.5955448919834256,-0.4281519868288805,-0.502715952834835
1,1,-18.59,18.78,-2.4550446428571426,-3.09,7.03631243137594,0.3946261615213735,-0.19441392940519142,49.509692631935586,0.033427345688948715,5.205540126518489,1.314911111619001,0.42072046368106775,0.004145390805001808,3.436484994400425,1.475604225014634,0.1862826409808712,0.19371042254430576,0.015269148496792074,0.3651335220255935,0.20904793460890972,210.22629273631352,3149.423579634815,2.0,4.360573654147433,-2.5284342993543953,6.63270645838853,3.125379498097781,1.6077809232936948,3.5073269602907495,0.08941916123301477,0.0012062880564752962,0.18289448003283013,0.1854070349196202,0.0044444483169719185,-2.9691617050069046,-0.6451160984341937,-0.10120705069914844,-2.472790375031383,8.47894626631439,2.120803581294281,0.814886134474778,1.0,0.6189902709596153,0.5037927493716133,-0.14740189014898622,-0.2540128622081466
1,2,-42.0,-21.09,-33.08891741071429,-33.64,3.890987934863129,0.5118215924840405,-0.33065394449945273,15.13978710925044,0.033419146811186115,0.6492986028473366,0.42276246337855283,0.14923045372437377,0.0006916913849434037,0.3729801943373004,0.2807143192017873,0.28236301101671074,0.3239307712298913,0.012011495947958388,0.1868350785232359,0.1874890683810502,61.46367408136796,979.7734263422535,11.0,0.7833541666858448,1.5114815133209176,4.714029643571615,2.8329503317023232,1.2298697440929218,1.8810793118692926,0.1884053137727498,0.0018544989665533833,0.08010197327351891,0.19434257842899658,-0.018447142380934683,0.9551836619188039,-0.09708223356328188,-0.05957285506377629,-356.58667455630814,1.4842687297099424,2.1494514132588645,0.7509671491571496,0.6189902709596155,1.0,0.8260099220929458,-0.5025765347493506,-0.7189828570827573
1,3,-66.31,-41.31,-55.568515624999996,-56.31,4.58413066295276,0.687009968036252,0.08260825212312195,21.014253935023714,0.03342114817659353,0.40769003216163197,0.6977826175765205,0.11875912581839707,0.0010158756311561116,0.8550703320668354,0.317870521064289,0.33246049352548596,0.18389513998133789,0.012584436950521475,0.30555050108435106,0.15145030507821133,71.74026740295628,1103.8460121899666,11.0,1.6590941151119012,0.9931869195793908,8.552211307061286,5.875612613076565,1.2438471723662905,2.676598693984723,0.07713222393470157,0.0011880609033652065,0.1320580964580442,0.20222632567738,0.011257944788251598,0.17682221971979795,-0.14557653730808512,-0.045504591404910553,-607.1910246988225,1.7370903214501334,2.0118533129949703,0.5955448919834256,0.5037927493716133,0.8260099220929458,1.0,-0.48360276546379266,-0.5483261899585019
